아이디,이름,타입
id,name,soundtype
int,string,SoundType
101,SFX_Player_Attack,SFX
102,SFX_Player_AttackToWall,SFX
103,SFX_Player_Dash,SFX
104,SFX_Player_DoubleJump,SFX
105,SFX_Player_Jump,SFX
106,SFX_Player_Land,SFX
107,SFX_Player_WallBump,SFX
108,SFX_Player_Hit,SFX
201,SFX_UI_ButtonHover,SFX
202,SFX_UI_Back,SFX
203,SFX_UI_ButtonClick,SFX
301,SFX_Gear_Hit,SFX
302,SFX_Gear_Moving,SFX
303,SFX_Gear_Lock,SFX
304,SFX_Steam_Off,SFX
305,SFX_PaperCrane_Hit,SFX
306,SFX_Ghost_ImmuneHit,SFX
307,SFX_Fountain_Cure,SFX
308,SFX_ClockHand_Get,SFX
309,SFX_Core_Activate,SFX
401,SFX_Boss1_ThrowMetal,SFX
402,SFX_Boss1_MetalSmash,SFX
403,SFX_Boss1_ConcreteLock,SFX
404,SFX_Boss1_WeakPointHit,SFX
405,SFX_Boss1_ThrowConcrete,SFX
406,SFX_Boss1_WeakPointSmash,SFX
407,SFX_Boss2_BookThrow,SFX
408,SFX_Boss2_Bookbite,SFX
409,SFX_Boss2_Bite,SFX
410,SFX_Boss2_Bite,SFX
411,SFX_Boss2_Explosion,SFX
412,SFX_Boss2_Book,SFX
501,SFX_Stage_Start,SFX
502,SFX_Stage4_Earthquake,SFX
503,SFX_Stage_ClearEventQuake,SFX
504,SFX_Stage3_TimeShift,SFX
601,BGM_FixOurTime,BGM
602,BGM_Stage1,BGM
603,BGM_Stage2,BGM
